Key,Value,Category,Comment,Group
amenity,bar,Food,"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.",1
amenity,bbq,Food,"BBQ or Barbecue is a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches. Use the tag fuel=* to specify the source of heating, such as fuel=wood;electric;charcoal. For mapping nearby table and chairs, see also the tag tourism=picnic_site. For mapping campfires and firepits, instead use the tag leisure=firepit.",2
amenity,biergarten,Food,"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.",1
amenity,cafe,Food,"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet=*. See also the tags amenity=restaurant;bar;fast_food.",3
amenity,drinking_water,Food,"Drinking water is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a drinking fountain or bubbler.",
amenity,fast_food,Food,Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet=*.,2
amenity,food_court,Food,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.",2
amenity,ice_cream,Food,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter,4
amenity,pub,Food,A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub,1
amenity,restaurant,Food,"Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet=*.",2
amenity,college,Education,Campus or buildings of an institute of Further Education (aka continuing education),5
amenity,driving_school,Education,Driving School which offers motor vehicle driving lessons,7
amenity,kindergarten,Education,"For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.",8
amenity,language_school,Education,Language School: an educational institution where one studies a foreign language.,9
amenity,library,Education,"A public library (municipal, university, …) to borrow books from.",10
amenity,toy_library,Education,"A place to borrow games and toys, or play with them on site.",
amenity,music_school,Education,"A music school, an educational institution specialized in the study, training, and research of music.",9
amenity,school,Education,"School and grounds - primary, middle and seconday schools",6
amenity,university,Education,An university campus: an institute of higher education,5
amenity,bicycle_parking,Transportation,Parking for bicycles,13
amenity,bicycle_repair_station,Transportation,"General tools for self-service bicycle repairs, usually on the roadside; no service",14
amenity,bicycle_rental,Transportation,Rent a bicycle,
amenity,boat_rental,Transportation,Rent a Boat,
amenity,boat_sharing,Transportation,Share a Boat,
amenity,bus_station,Transportation,May also be tagged as public_transport=station.,
amenity,car_rental,Transportation,Rent a car,
amenity,car_sharing,Transportation,Share a car,15
amenity,car_wash,Transportation,Wash a car,
amenity,vehicle_inspection,Transportation,Government vehicle inspection,
amenity,charging_station,Transportation,Charging facility for electric vehicles,12
amenity,ferry_terminal,Transportation,Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.,
amenity,fuel,Transportation,Petrol station; gas station; marine fuel; … Streets to petrol stations are often tagged highway=service.,
amenity,grit_bin,Transportation,A container that holds grit or a mixture of salt and grit.,
amenity,motorcycle_parking,Transportation,Parking for motorcycles,
amenity,parking,Transportation,Car park. Nodes and areas (without access tag) will get a parking symbol. Areas will be coloured. Streets on car parking are often tagged highway=service and service=parking_aisle.,11
amenity,parking_entrance,Transportation,An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking. Do not mix with amenity=parking.,
amenity,parking_space,Transportation,A single parking space. Group multiple parking spaces together with a relation using the tags type=site and site=parking. Do not mix with amenity=parking.,
amenity,taxi,Transportation,A place where taxis wait for passengers.,16
amenity,atm,Financial,ATM or cash point: a device that provides the clients of a financial institution with access to financial transactions.,17
amenity,bank,Financial,"Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.",18
amenity,bureau_de_change,Financial,"Bureau de change, money changer, currency exchange, Wechsel, cambio – a place to change foreign bank notes and travellers cheques.",
amenity,baby_hatch,Healthcare,"A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.",19
amenity,clinic,Healthcare,A medium-sized medical facility or health centre.,20
amenity,dentist,Healthcare,A dentist practice / surgery.,21
amenity,doctors,Healthcare,A doctor's practice / surgery.,22
amenity,hospital,Healthcare,A hospital providing in-patient medical treatment. Often used in conjunction with emergency=* to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.)),23
amenity,nursing_home,Healthcare,Discouraged tag for a home for disabled or elderly persons who need permanent care. Use amenity=social_facility + social_facility=nursing_home now.,27
amenity,pharmacy,Healthcare,Pharmacy: a shop where a pharmacist sells medications,24
amenity,social_facility,Healthcare,"A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.",25
amenity,veterinary,Healthcare,"A place where a veterinary surgeon, also known as a veterinarian or vet, practices.",26
amenity,arts_centre,Entertainment,A venue where a variety of arts are performed or conducted,28
amenity,brothel,Entertainment,An establishment specifically dedicated to prostitution,
amenity,casino,Entertainment,"A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds.",29
amenity,cinema,Entertainment,A place where films are shown (US: movie theater),30
amenity,community_centre,Entertainment,"A place mostly used for local events, festivities and group activities; including special interest and special age groups. .",31
amenity,fountain,Entertainment,A fountain for cultural / decorational / recreational purposes.,
amenity,gambling,Entertainment,"A place for gambling, not being a shop=bookmaker, shop=lottery, amenity=casino, or leisure=adult_gaming_centre.",
amenity,nightclub,Entertainment,"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likely amenity=stripclub.",32
amenity,planetarium,Entertainment,A planetarium.,
amenity,public_bookcase,Entertainment,A street furniture containing books. Take one or leave one.,
amenity,social_centre,Entertainment,A place for free and not-for-profit activities.,33
amenity,stripclub,Entertainment,A place that offers striptease or lapdancing (for sexual services use amenity=brothel).,
amenity,studio,Entertainment,TV radio or recording studio,
amenity,swingerclub,Entertainment,A club where people meet to have a party and group sex.,
amenity,theatre,Entertainment,"A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Use amenity=cinema for movie theaters.",34
amenity,animal_boarding,Others,"A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays)",
amenity,animal_shelter,Others,A shelter that recovers animals in trouble,
amenity,baking_oven,Others,"An oven used for baking bread and similar, for example inside a building=bakehouse.",
amenity,bench,Others,A bench to sit down and relax a bit,
amenity,childcare,Others,A place where children of different ages are looked after which is not an amenity=kindergarten or preschool.,
amenity,clock,Others,A public visible clock,
amenity,conference_centre,Others,A large building that is used to hold a convention,
amenity,courthouse,Others,"A building home to a court of law, where justice is dispensed",
amenity,crematorium,Others,A place where dead human bodies are burnt,
amenity,dive_centre,Others,A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.,
